"ID","X","Y"
201101,3141994,1696736
201102,3157532,1671413
201103,3156138,1673765
201104,3145932,1693706
201105,3176874,1683416
201106,3176874,1683416
201107,3160896,1673178
201108,3147996,1691775
201109,3155093,1698716
201110,3147864,1698875
201111,3139486,1705148
201112,3143699,1699950
201113,3140976,1697832
201114,3133699,1683900
201115,3143250,1699639
201116,3145640,1694781
201117,3133426,1712063
201118,3165485,1701543
201119,3165485,1701543
201120,3150909,1694344
201121,3148166,1703418
201122,3156348,1707579
201123,3169237,1705800
201124,3169237,1705800
201125,3150742,1701623
201126,3133937,1692403
201127,3146300,1694801
201128,3146300,1694801
201129,3148045,1701914
201130,3144977,1694036
201131,3159425,1698362
201132,3130864,1696893
201133,3165289,1689954
201134,3132883,1680210
201135,3132883,1680210
